ID	adjudicated	Labels	text
1	adjudicated	1	ordinary people A little advice about feelings kiddo; don't expect it always to tickle.
2	adjudicated	1	the man who knew too much Tell him the lady who saved his life wants to speak to him.
3	adjudicated	4	the world is not enough Flawless, and still so innocent, not such a whore in bed...
4	adjudicated	4	death to smoochy I love when you do the Jiggy Ziggy dance!
5	adjudicated	3	rear window Why don't I slip into something comfortable?
6	adjudicated	4	punch-drunk love Do you wanna have sex?
7	adjudicated	5	a nightmare on elm street I knew there was something about you I liked...
8	adjudicated	0	twelve monkeys You are a total nutcase, completely deranged, delusional, paranoid. Your thought process is all fucked up. Your information train is jammed, man!
9	adjudicated	0	twelve monkeys You had a bullet from World War I in your leg, James! How did it get there?
10	adjudicated	3	twilight No one will surrender tonight, but I won't give in. I know what I want.
11	adjudicated	2	twilight You know, your mood swings are kinda giving me whiplash.
12	adjudicated	2	twilight Look at you, huh?... You're ALIVE!
13	adjudicated	2	twilight Oh, still stubborn, aren't we? Is that what makes you so special to Edward?
14	adjudicated	3	twilight I'd rather die than to stay away from you.
15	adjudicated	0	twilight Whoa whoa! Chillax! No feature!
16	adjudicated	2	twilight Beautiful. Very visually dynamic. I chose my stage well.
17	adjudicated	1	twilight Ah... you brought a snack.
18	adjudicated	0	twilight Maybe he'll adopt me.
19	adjudicated	0	twilight Edward, stop. Her blood is clean. You're killing her. Stop. Find the will.
20	adjudicated	2	twin peaks She's my cousin... but doesn't she look almost exactly like Laura Palmer?
21	adjudicated	3	twin peaks Wow, Bob, Wow. Fire walk with me.
22	adjudicated	4	twin peaks You know, there's only one problem with you: you're perfect.
23	adjudicated	1	twin peaks: fire walk with me If I had a nickel for every cigarette your mom smoked, I'd be dead.
24	adjudicated	0	twin peaks: fire walk with me When this kind of fire starts, it is very hard to put out. The tender boughs of innocence burn first, and the wind rises, and then all goodness is in jeopardy.
25	adjudicated	0	twin peaks: fire walk with me Now, her name *is* Irene and it *is* night. Don't take it any further than that. There's nothin' good about it.
26	adjudicated	3	twin peaks: fire walk with me Hey, slow pokes... Guess what? There's no tomorrow... Know why, baby? 'Cause it'll never get here.
27	adjudicated	0	twin peaks: fire walk with me It was a dream! We live inside a dream!
28	adjudicated	2	twins If you're lying to me, I'll be back!
29	adjudicated	0	two for the money Oh man... You better hold on to the coin you flipped. Because this game keeps up like this, I'm going to have to borrow it.
30	adjudicated	4	u turn You've been a bad girl, Grace!
31	adjudicated	1	u turn Your lies are old but you tell them pretty good.
32	adjudicated	5	u turn Bye, Mister. Don't go nowhere without me. I wanna have your love child.
33	adjudicated	2	u turn Come here. You know what I wanna do? I wanna hang drapes...
34	adjudicated	5	u turn I bet right now, you don't know if you want to kill me... or fuck me.
35	adjudicated	4	u turn And here I made you all hot and sweaty...
36	adjudicated	1	u turn Now you can fuckin' take it, or you can fuckin' leave it.
37	adjudicated	2	unbreakable They say this one has a surprise ending.
38	adjudicated	2	unbreakable This is an art gallery, my friend, and this is a piece of art.
39	adjudicated	2	unbreakable You'd better not be back there jacking off to the Japanese comics, I swear to God...
40	adjudicated	1	under fire I like you people, but you are sentimental shits! You fall in love with the poets; the poets fall in love with the Marxists; the Marxists fall in love with themselves. The country falls in love with the rhetoric, and in the end we are stuck with tyrants.
41	adjudicated	1	unforgiven You know how women lie.
42	adjudicated	4	up I was hiding under your porch because I love you.
43	adjudicated	4	up in the air This is pretty fucking sexy.
44	adjudicated	3	up in the air You're so pretty. You're exactly what I want to look like in fifteen years.
45	adjudicated	0	up in the air Please, for the love of God, can I fire the next one.
46	adjudicated	2	v for vendetta Tell me... do you like music, Mr. Finch?
47	adjudicated	0	v for vendetta England prevails because *I* say it does!
48	adjudicated	0	v for vendetta It seems strange that my life should end in such a terrible place, but for three years I had roses, and apologized to no one.
49	adjudicated	1	vanilla sky Don't you know that when you sleep with someone, your body makes a promise whether you do or not.
50	adjudicated	0	vanilla sky You'll be meeting Rebecca Dearborn, my personal role model.
51	adjudicated	0	vanilla sky I'll tell you in another life, when we are both cats.
52	adjudicated	2	vanilla sky Forgive me, I'm blowing your mind.
53	adjudicated	4	vanilla sky Do you love me? I mean really love me. Because if you don't... I'll just have to kill you.
54	adjudicated	4	vanilla sky Don't ever say that word. I will never come over and bring you chicken soup and fuck your brains out again.
55	adjudicated	0	vanilla sky I think she's the saddest girl to ever to hold a martini.
56	adjudicated	0	vanilla sky The little things... there's nothing bigger, is there?
57	adjudicated	2	vanilla sky Julie Gianni is your fuck buddy?
58	adjudicated	2	vanilla sky Four times... it means something, David.
59	adjudicated	1	vanilla sky I good you bid evening.
60	adjudicated	0	vertigo Only one is a wanderer; two together are always going somewhere.
61	adjudicated	2	vertigo Give me your hand. Give me your hand.
62	adjudicated	2	village You are fearless in a way that I shall never know.
63	adjudicated	0	village My sister has found love... again.
64	adjudicated	4	village Good afternoon, Lucius. I wanted to... tell you something.  I love you, Lucius. I love you... like the day is long! I love you more than the sun and the moon together. And if you feel the same way, then we should not hide it any longer.  It's a gift, love is! We should be thankful! We should bellow it out with all the breath in our lungs! Thank you! Thank you!  THANK YOU!
65	adjudicated	1	village I know why you denied my sister. When I was younger, you used to hold my arm when I walked. Then suddenly you stopped. One day, I even tripped in your presence and nearly fell. I was faking, of course, but still you did not hold me. Sometimes we don't do things we want to do so that others will not know we want to do them.
66	adjudicated	1	walking tall You know what my new favorite sound is going to be? The sound of you screaming like a bitch!
67	adjudicated	3	walking tall I guess that changes our relationship a bit, huh?
68	adjudicated	3	war of the worlds You keep your eyes only on me, you understand? Don't look down. Don't look around me. I'm taking you to the car and you're gonna want to look around... but you're not going to, are you?
69	adjudicated	1	war of the worlds You and me? I don't think we're on the same page.
70	adjudicated	1	warm springs You're gonna do great things, Franklin. This place has identity now, a purpose.
71	adjudicated	1	watchmen Just a matter of time, I suppose.
72	adjudicated	2	waxwork Would you like a closer look?
73	adjudicated	0	waxwork Steak tartar? Ah, yes. Steak tartar.
74	adjudicated	1	waxwork Raw meat. You do like raw meat?
75	adjudicated	3	white christmas You didn't expect me to come down in my bathrobe, did you?
76	adjudicated	2	white squall I think I'm gonna choke on feel good.
77	adjudicated	4	who framed roger rabbit Roger, darling. I want you to know I love you. I've loved you more than any woman's ever loved a rabbit.
78	adjudicated	3	who framed roger rabbit Is he always this funny, or only on days when he's wanted for murder?
79	adjudicated	1	who framed roger rabbit Dabbling in watercolors, Eddie?
80	adjudicated	0	who framed roger rabbit Keep it up, Eddie. You're killing 'em. You're slaying 'em! You're knocking 'em DEAD!
81	adjudicated	3	wild at heart Those toenails dry yet, sweetheart? We got some dancin' to do.
82	adjudicated	4	wild at heart Ya know, I sure do like a girl with nice tits like yours who talks tough and looks like she can fuck like a bunny. Do you fuck like that? Cause if ya do, I'll fuck ya good. Like a big ol' jackrabbit bunny, jump all around that hole. Bobby Peru don't come up for air.
83	adjudicated	2	wild at heart That ain't never will happen, baby. Least not in our lifetime.
