ID	Annotator	Label	Text
1	coby	1	ordinary people A little advice about feelings kiddo; don't expect it always to tickle.
1	Michael	1	ordinary people A little advice about feelings kiddo; don't expect it always to tickle.
2	coby	0	the man who knew too much Tell him the lady who saved his life wants to speak to him.
2	Michael	1	the man who knew too much Tell him the lady who saved his life wants to speak to him.
3	coby	3	the world is not enough Flawless, and still so innocent, not such a whore in bed...
3	Michael	4	the world is not enough Flawless, and still so innocent, not such a whore in bed...
4	coby	4	death to smoochy I love when you do the Jiggy Ziggy dance!
4	Michael	4	death to smoochy I love when you do the Jiggy Ziggy dance!
5	coby	4	rear window Why don't I slip into something comfortable?
5	Michael	3	rear window Why don't I slip into something comfortable?
6	coby	5	punch-drunk love Do you wanna have sex?
6	Michael	4	punch-drunk love Do you wanna have sex?
7	coby	5	a nightmare on elm street I knew there was something about you I liked...
7	Michael	3	a nightmare on elm street I knew there was something about you I liked...
8	coby	0	twelve monkeys You are a total nutcase, completely deranged, delusional, paranoid. Your thought process is all fucked up. Your information train is jammed, man!
8	Michael	0	twelve monkeys You are a total nutcase, completely deranged, delusional, paranoid. Your thought process is all fucked up. Your information train is jammed, man!
9	coby	0	twelve monkeys You had a bullet from World War I in your leg, James! How did it get there?
9	Michael	0	twelve monkeys You had a bullet from World War I in your leg, James! How did it get there?
10	coby	3	twilight No one will surrender tonight, but I won't give in. I know what I want.
10	Michael	3	twilight No one will surrender tonight, but I won't give in. I know what I want.
11	coby	2	twilight You know, your mood swings are kinda giving me whiplash.
11	Michael	2	twilight You know, your mood swings are kinda giving me whiplash.
12	coby	1	twilight Look at you, huh?... You're ALIVE!
12	Michael	2	twilight Look at you, huh?... You're ALIVE!
13	coby	1	twilight Oh, still stubborn, aren't we? Is that what makes you so special to Edward?
13	Michael	2	twilight Oh, still stubborn, aren't we? Is that what makes you so special to Edward?
14	coby	0	twilight I'd rather die than to stay away from you.
14	Michael	3	twilight I'd rather die than to stay away from you.
15	coby	0	twilight Whoa whoa! Chillax! No feature!
15	Michael	0	twilight Whoa whoa! Chillax! No feature!
16	coby	3	twilight Beautiful. Very visually dynamic. I chose my stage well.
16	Michael	2	twilight Beautiful. Very visually dynamic. I chose my stage well.
17	coby	1	twilight Ah... you brought a snack.
17	Michael	1	twilight Ah... you brought a snack.
18	coby	1	twilight Maybe he'll adopt me.
18	Michael	0	twilight Maybe he'll adopt me.
19	coby	0	twilight Edward, stop. Her blood is clean. You're killing her. Stop. Find the will.
19	Michael	0	twilight Edward, stop. Her blood is clean. You're killing her. Stop. Find the will.
20	coby	0	twin peaks She's my cousin... but doesn't she look almost exactly like Laura Palmer?
20	Michael	2	twin peaks She's my cousin... but doesn't she look almost exactly like Laura Palmer?
21	coby	3	twin peaks Wow, Bob, Wow. Fire walk with me.
21	Michael	3	twin peaks Wow, Bob, Wow. Fire walk with me.
22	coby	5	twin peaks You know, there's only one problem with you: you're perfect.
22	Michael	4	twin peaks You know, there's only one problem with you: you're perfect.
23	coby	0	twin peaks: fire walk with me If I had a nickel for every cigarette your mom smoked, I'd be dead.
23	Michael	1	twin peaks: fire walk with me If I had a nickel for every cigarette your mom smoked, I'd be dead.
24	coby	0	twin peaks: fire walk with me When this kind of fire starts, it is very hard to put out. The tender boughs of innocence burn first, and the wind rises, and then all goodness is in jeopardy.
24	Michael	0	twin peaks: fire walk with me When this kind of fire starts, it is very hard to put out. The tender boughs of innocence burn first, and the wind rises, and then all goodness is in jeopardy.
